id,name,date,city,venue_node_id,host_node_ids,participant_org_ids,topic,source_id,notes,event_node_id,review_status,last_verified
EV001,DEF/ACC Hackathon at Vivarium SF,2025-11-22,San Francisco,vivarium,bluedot,halcyon-futures|mats|prime-intellect|spar|apart-research|workshop-labs,AI safety/security/defensive acceleration,S104,"Reviewed 2026-09-25. Listed sponsors replace the unsupported FAR.AI seed association. Event node def-acc-vivarium-2025 records separate advertised host, sponsor, judge, and venue roles.",def-acc-vivarium-2025,audited,2026-09-25
EV002,AI Safety Coworking Day @ Mox,2026,San Francisco,mox,mox,80000-hours,AI safety coworking / field networking,S073,,,legacy_unreviewed,
EV003,CAIS Remote Labor Index @ Mox,2026,San Francisco,mox,mox,cais,AI capability evaluation / labor automation,S074,,,legacy_unreviewed,
EV004,AI Safety Entrepreneurship Fireside,2026,Berkeley,lighthaven,catalyze-impact,mats|timaeus,AI safety organization-building,S075,,,legacy_unreviewed,
EV005,MC0001 Machine Consciousness Conference,2026-05-29/31,Berkeley,lighthaven,,,machine consciousness; philosophy; AI research,S076,,,legacy_unreviewed,
EV006,Vitalist Bay 2026,2026-05,Berkeley,lighthaven,vitalist-bay,a4li,longevity; cryonics; AI×bio; investing,S077,,,legacy_unreviewed,
EV007,Paths to Progress / Foresight Vision Weekend programming,2025/2026,San Francisco,,foresight,roots-progress|far-ai,frontier tech; progress; funding; policy,S078,,,legacy_unreviewed,
EV008,Progress Conference Welcome @ Lighthaven,2025,Berkeley,lighthaven,,roots-progress,progress studies / abundance / technology,S079,,,legacy_unreviewed,
EV009,Human Agency in the Intelligence Age,2026,San Francisco,spc,spc,roots-progress,automation; human agency; philosophy of progress,S080,,,legacy_unreviewed,
EV010,Local & Open-Source AI Developer Meetup,2026,San Francisco,shack15,cerebral-valley,,open-source AI; developer ecosystem,S081,,,legacy_unreviewed,
EV011,Frontier Tower AI Floor Member Meetup,2026,San Francisco,frontier-tower,frontier-tower,,AI floor community / internal organizing,S082,,,legacy_unreviewed,
EV012,Intellectual Salon @ Frontier Tower,2026-04-27,San Francisco,frontier-tower,frontier-tower,,philosophy; science; technology; metaphysics; creativity,S083,,,legacy_unreviewed,
EV013,AI Salon: Labor,2026,San Francisco,,ai-salon,,AI; labor; techno-feudalism; migration; politics,S084,,,legacy_unreviewed,
EV014,Stop AI / LaborFest: AI in Education,2026-07-21,San Francisco,,stop-ai-bay,,AI opposition; education; labor/community discussion,S085,,,legacy_unreviewed,
EV015,Human+Tech Week Summit,2026-05-11/15,San Francisco,,,,human-centered AI; work; health; cities,S086,,,legacy_unreviewed,
EV016,Foresight Salon: Redesigning the Human Lifespan,2026,San Francisco,,foresight,,longevity; ethics; economics; lifespan,S087,,,legacy_unreviewed,
EV017,AI Salon & SF Intellectuals,2026,San Francisco,,ai-salon|sf-intellectuals,,AI philosophy; culture; sociology,S070,,,legacy_unreviewed,
EV018,AI Philosophy Nights: Invention of Tomorrow,2026-02-12,San Francisco,,superhuman-society,,philosophy; AI; human dignity; future,S071,,,legacy_unreviewed,
EV019,AI Salon: Progress vs Flourishing,2026,San Francisco,the-commons,ai-salon|superhuman-society|the-commons,,progress; flourishing; metamodernism,S072,,,legacy_unreviewed,
EV020,Resonance Salon: AI & Consciousness,2026,San Francisco,the-commons,the-commons,,AI; consciousness; identity; art; care,S098,,,legacy_unreviewed,
