id,name,type,cluster,location,summary,stated_philosophy,notes,source_ids
vivarium,Vivarium SF,organization,hybrid-tech-culture,San Francisco,"Semi-public collective of engineers and artists doing self-directed work; home, gathering space, and event venue.",mutual good; self-directed work,"Operator is PrototypeSF, LLC.",S001
prototypesf,"PrototypeSF, LLC",organization,hybrid-tech-culture,San Francisco,"Collaborative creative house/community emphasizing engineering, aesthetics, systems thinking, and high agency.",collaborative creative work; high agency; systems thinking,,S001|S002
noisebridge,Noisebridge,organization,commons-hacker,San Francisco,Volunteer-driven hackerspace with explicit anarchist organizational influence.,anarchist organizational influence; consensus; do-ocracy,Participation is broader than anarchists.,S003
sudo-room,Sudo Room,organization,commons-hacker,Oakland,"Open hackerspace linking technology with social justice, resilience, decentralization, sustainability, art, and solidarity.",horizontal organization; social justice; decentralization; solidarity,,S004
omni-commons,Omni Commons,organization,commons-hacker,Oakland,"Commons composed of Bay Area collectives, organized around commoning and collective stewardship.",commoning; collective stewardship; anti-corporate-profit orientation,,S005
counter-culture-labs,Counter Culture Labs,organization,open-science,Oakland,Volunteer community biology lab aimed at democratizing biotech and scientific literacy.,open science; democratization of biotechnology; peer education,,S006
biocurious,BioCurious,organization,open-science,Silicon Valley,"Community biotech lab offering open, affordable access to biology experimentation.",citizen science; open biology; access,,S007
humanmade,Humanmade,organization,maker-workforce,San Francisco,"Nonprofit maker and advanced-manufacturing hub combining public membership, workforce development, and startup support.",making; workforce development; access to manufacturing,,S008
circuit-launch,Circuit Launch,organization,startup-hardware,Oakland / Mountain View,"Hardware coworking/prototyping community connecting companies to talent, capital, suppliers, and manufacturing.",hardware entrepreneurship; industry network,,S009
twc,Tech Workers Coalition — Bay Area,organization,labor-left,Bay Area,"Tech-labor organizing community focused on worker power, political education, and collective action.",worker power; collective action; political education,,S010
techequity,TechEquity Collaborative,organization,public-interest-tech,California,"Advocacy/research organization working on technology's effects on labor, housing, and economic equity.",economic justice; anti-racism; systems change; accountable technology,,S011
gray-area,Gray Area,organization,art-tech-counterculture,San Francisco,"Cultural incubator integrating art, technology, science, and humanities toward equitable and regenerative futures.",antidisciplinary practice; equity; social transformation,,S012
eff,Electronic Frontier Foundation,organization,digital-rights,San Francisco,"Digital civil-liberties nonprofit focused on privacy, free expression, security research, and user rights.",civil liberties; privacy; free expression; encryption,,S013
cht,Center for Humane Technology,organization,public-interest-tech,San Francisco,Nonprofit seeking to change incentives around consequential technology so it better serves society.,humane technology; public good; incentive reform,,S015
pai,Partnership on AI,organization,responsible-ai,Global / Bay Area ties,Multi-stakeholder nonprofit working on responsible AI practice and governance.,responsible AI; multi-stakeholder governance,,S016
cltc,UC Berkeley CLTC — AI Security Initiative,organization,public-interest-ai,Berkeley,"AI risk-management program integrating technical security, ethics, law, cyber risk, and socioeconomic impacts.",public-interest AI safety; governance; security,,S042
