id,title,url,source_type,notes
S001,Vivarium — About,https://vivariumsf.com/about,primary,Vivarium self-description and operator.
S002,PrototypeSF — Home,https://www.prototypesf.org/,primary,PrototypeSF philosophy/community.
S003,Noisebridge — Anarchy,https://www.noisebridge.net/wiki/Anarchy,primary/community,Explicit anarchist organizational influence.
S004,Sudo Room — About,https://sudoroom.org/mediawiki/index.php?title=About,primary/community,Horizontal hackerspace/social justice framing.
S005,Omni Commons — Join,https://omnicommons.org/wiki/Join,primary/community,Commons/commoning governance language.
S006,Counter Culture Labs — About,https://www.counterculturelabs.org/about1.html,primary,Community biology lab.
S007,BioCurious — About,https://biocurious.org/about/,primary,Community biotech lab.
S008,Humanmade — Home,https://www.humanmade.org/home,primary,Maker/manufacturing hub.
S009,Circuit Launch — About,https://www.circuitlaunch.com/about-us.html,primary,Hardware coworking/entrepreneurship.
S010,Tech Workers Coalition — Bay Area,https://techworkerscoalition.org/bay-area/,primary,Labor organizing network.
S011,TechEquity Collaborative — Who We Are,https://techequity.us/who-we-are/,primary,Economic justice/tech accountability.
S012,Gray Area — Mission,https://grayarea.org/about/mission/,primary,Art-tech cultural incubator.
S013,EFF — About,https://www.eff.org/about,primary,Digital civil liberties.
S014,Long Now Foundation — Home,https://longnow.org/,primary,Long-term thinking institution.
S015,Center for Humane Technology — Impact & Story,https://www.humanetech.com/impact-and-story,primary,Humane technology movement.
S016,Partnership on AI — About,https://partnershiponai.org/about/,primary,Multi-stakeholder responsible AI.
S017,DWeb — Home,https://getdweb.net/,primary,Decentralized web movement/network.
S018,Burning Man Project — What We Do,https://burningman.org/about-us/what-we-do/,primary,Participatory counterculture network.
S019,Institute for the Future — What We Do,https://legacy.iftf.org/en/what-we-do/,primary,Futures/foresight research.
S020,Foresight Institute — Home,https://foresight.org/,primary,"Frontier tech, secure AI, longevity, neurotech, nanotech."
S021,Edge City — About,https://www.edgecity.live/about,primary,Popup-village society incubator.
S022,Roots of Progress Institute — About,https://rootsofprogress.org/about/,primary,Progress studies movement-building.
S023,Roots of Progress — Techno-Humanist Manifesto,https://rootsofprogress.org/manifesto/,primary,Techno-humanist philosophy.
S024,Astera — Vision,https://astera.org/vision/,primary,Science philanthropy/institutional experimentation.
S025,California Forever — Company,https://californiaforever.com/company/,primary,New-city developer.
S026,California Forever — Investors FAQ,https://solano.californiaforever.com/faq/who-runs-california-forever-what-role-do-investors-have-in-california-forever-are-any-of-them-foreign/,primary,Investor disclosure.
S027,AGI House — Home/About,https://app.agihouse.org/,primary,AI builder/community/event network.
S028,Lightcone Infrastructure — Home,https://www.lightconeinfrastructure.com/,primary,Operates LessWrong/Lighthaven.
S029,Lighthaven — Home,https://lighthaven.space/,primary,Berkeley intellectual/event campus.
S030,LessWrong — About,https://www.lesswrong.com/about,primary/community,Rationality community.
S031,Effective Altruism — Introduction,https://www.effectivealtruism.org/articles/introduction-to-effective-altruism,primary/community,EA movement definition.
S032,Coefficient Giving — Rebrand,https://coefficientgiving.org/research/open-philanthropy-is-now-coefficient-giving/,primary,Open Philanthropy renamed Coefficient Giving in 2025.
S033,"80,000 Hours — About",https://80000hours.org/about/,primary,Career field-building; EA/AI safety connections.
S034,BlueDot Impact — About,https://bluedot.org/about,primary,AI safety talent accelerator.
