id,source,target,relationship,confidence,basis,source_ids,claim_kind,review_status,source_locator,date_start,date_end,amount_usd,last_verified,caveat
E001,vivarium,prototypesf,OPERATED_BY,confirmed,"Vivarium states it is operated by PrototypeSF, LLC.",S001,,legacy_unreviewed,,,,,,
E002,noisebridge,anarchism,EXPLICITLY_INFLUENCED_BY,confirmed,Noisebridge identifies anarchist organizational philosophy as a major influence.,S003,,legacy_unreviewed,,,,,,
E003,sudo-room,commons-horizontalism,EXPLICITLY_PRACTICES,confirmed,"Sudo Room describes horizontal, transparent organizing and solidarity/social-justice goals.",S004,,legacy_unreviewed,,,,,,
E004,omni-commons,commons-horizontalism,EXPLICITLY_PRACTICES,confirmed,Omni explicitly centers commoning and collective stewardship.,S005,,legacy_unreviewed,,,,,,
E005,sudo-room,omni-commons,COLOCATED_WITH,confirmed,Sudo Room is part of the Omni Commons ecosystem.,S004|S005,,legacy_unreviewed,,,,,,
E006,counter-culture-labs,omni-commons,LOCATED_AT,confirmed,CCL describes its move into Omni Commons.,S006,,legacy_unreviewed,,,,,,
E007,counter-culture-labs,sudo-room,HISTORICALLY_CONNECTED_TO,confirmed,CCL describes early meetings at Sudo Room.,S006,,legacy_unreviewed,,,,,,
E008,counter-culture-labs,biocurious,SISTER_LAB,confirmed,CCL publicly calls BioCurious its sister lab.,S006,,legacy_unreviewed,,,,,,
E009,eff,digital-civil-libertarianism,EXPLICITLY_ALIGNED_WITH,strong,"EFF's mission centers civil liberties, privacy, expression, encryption and user rights.",S013,,legacy_unreviewed,,,,,,
E010,dweb,decentralization,EXPLICITLY_ALIGNED_WITH,confirmed,"DWeb explicitly advocates decentralized, open, private infrastructure.",S017,,legacy_unreviewed,,,,,,
E011,embassy,commons-horizontalism,EXPLICITLY_PRACTICES,confirmed,The Embassy describes its mission as building a commons and exploring commoning.,S055,,legacy_unreviewed,,,,,,
E012,twc,public-interest-ai,OVERLAPS_WITH,contextual,Tech labor organizing is relevant to sociotechnical AI governance; not every TWC activity is AI-specific.,S010,,legacy_unreviewed,,,,,,
E013,techequity,public-interest-ai,EXPLICITLY_OVERLAPS_WITH,strong,TechEquity centers structural economic impacts and accountable technology.,S011,,legacy_unreviewed,,,,,,
E014,cltc,public-interest-ai,EXPLICITLY_OVERLAPS_WITH,confirmed,"CLTC frames AI security/risk as public-interest, legal, ethical, cyber and socioeconomic.",S042,,legacy_unreviewed,,,,,,
E015,dair,public-interest-ai,EXPLICITLY_OVERLAPS_WITH,strong,DAIR's worker/community-rooted work fits the sociotechnical/public-interest cluster.,S043,,legacy_unreviewed,,,,,,
E016,dair,luddite-lab,OPERATES,confirmed,Luddite Lab is a DAIR project.,S043,,legacy_unreviewed,,,,,,
E017,luddite-lab,twc,IDEOLOGICALLY_ADJACENT,inferred,Both center worker power over technology; no direct organizational tie asserted.,S010|S043,,legacy_unreviewed,,,,,,
E018,gray-area,counterculture-tech,EXPLICITLY_ALIGNED_WITH,strong,"Gray Area integrates art, technology, culture and social transformation.",S012,,legacy_unreviewed,,,,,,
E019,burning-man,counterculture-tech,OVERLAPS_WITH,contextual,"Burning Man is a major Bay Area countercultural network with extensive tech overlap; this edge is cultural, not ideological uniformity.",S018,,legacy_unreviewed,,,,,,
E020,long-now,progress-studies,DISTINCT_BUT_ADJACENT,contextual,"Both foreground the future and progress, but Long Now has a distinct intellectual lineage.",S014|S022,,legacy_unreviewed,,,,,,
E021,roots-progress,progress-studies,EXPLICITLY_BUILDS,confirmed,Roots of Progress explicitly says it is building the progress movement.,S022,,legacy_unreviewed,,,,,,
E022,roots-progress,techno-optimism,OVERLAPS_WITH,contextual,Its techno-humanist manifesto strongly favors technological progress while differing from other techno-optimist variants.,S023,,legacy_unreviewed,,,,,,
E023,a16z,techno-optimism,EXPLICITLY_ADVOCATES,confirmed,a16z published an explicit Techno-Optimist Manifesto.,S044,,legacy_unreviewed,,,,,,
E024,frontier-tower,cypherpunk,EXPLICITLY_INFLUENCED_BY,confirmed,Frontier Tower's founders explicitly describe a growing interest in a cypherpunk world.,S045,,legacy_unreviewed,,,,,,
E025,frontier-tower,decentralization,EXPLICITLY_ADVOCATES,confirmed,Frontier Tower describes self-governance and Ethereum-L2-based governance ambitions.,S045,,legacy_unreviewed,,,,,,
E026,frontier-tower,techno-optimism,OVERLAPS_WITH,contextual,Frontier Tower frames frontier technology and urban experimentation positively; exact ideology is broader than a16z-style techno-optimism.,S045|S046,,legacy_unreviewed,,,,,,
E027,california-forever,a16z,INVESTED_IN_BY,confirmed,California Forever lists Andreessen Horowitz among investors.,S026,,legacy_unreviewed,,,,,,
E028,california-forever,patrick-collison,INVESTED_IN_BY,confirmed,California Forever lists Patrick Collison among investors.,S026,,legacy_unreviewed,,,,,,
E029,roots-progress,patrick-collison,ADVISED_BY,confirmed,Roots of Progress lists Patrick Collison as an advisor.,S022,,legacy_unreviewed,,,,,,
E030,roots-progress,tyler-cowen,ADVISED_BY,confirmed,Roots of Progress lists Tyler Cowen as an advisor.,S022,,legacy_unreviewed,,,,,,
E031,roots-progress,jason-crawford,FOUNDED_BY,confirmed,Jason Crawford is founder/president.,S022,,legacy_unreviewed,,,,,,
E032,foresight,allison-duettmann,LED_BY,confirmed,Foresight identifies Allison Duettmann as CEO.,S020,,legacy_unreviewed,,,,,,
E033,foresight,christine-peterson,COFOUNDED_BY,confirmed,Foresight identifies Christine Peterson as co-founder.,S020,,legacy_unreviewed,,,,,,
E034,foresight,eric-drexler,COFOUNDED_BY,confirmed,Foresight identifies Eric Drexler as co-founder.,S020,,legacy_unreviewed,,,,,,
E035,astera,jed-mccaleb,COFOUNDED_FUNDED_BY,confirmed,Astera identifies Jed McCaleb as co-founder/funder.,S024,,legacy_unreviewed,,,,,,
E036,astera,seemay-chou,COFOUNDED_BY,confirmed,Astera identifies Seemay Chou as co-founder.,S024,,legacy_unreviewed,,,,,,
E037,california-forever,jan-sramek,FOUNDED_LED_BY,confirmed,California Forever identifies Jan Sramek as founder/CEO.,S025,,legacy_unreviewed,,,,,,
E038,edge-city,janine-leger,COFOUNDED_BY,confirmed,Edge City identifies Janine Leger as co-founder.,S021,,legacy_unreviewed,,,,,,
E039,edge-city,timour-kosters,COFOUNDED_BY,confirmed,Edge City identifies Timour Kosters as co-founder.,S021,,legacy_unreviewed,,,,,,
E040,edge-city,vitalik-buterin,PUBLIC_PARTICIPANT,confirmed,Edge City lists/quotes Vitalik Buterin in its public ecosystem.,S021,,legacy_unreviewed,,,,,,
